"2","3","6","7","10","11","14","15","17","20","21","24","25","28","29"
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,0,1,0,1,0,1,0
0,1,0,1,1,0,1,0,1,0,1,0,0,1,0
1,0,0,1,0,1,1,0,0,1,1,0,1,0,0
0,0,1,1,1,1,0,0,1,1,0,0,0,0,1
0,1,1,0,1,0,0,1,0,1,1,0,1,0,0
1,1,0,0,1,1,0,0,0,0,1,1,0,0,1
1,0,1,0,0,1,0,1,1,0,1,0,0,1,0
0,1,1,0,0,1,1,0,1,0,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,1,1
1,1,0,0,0,0,1,1,1,1,0,0,0,0,1
1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
